date,symbol,open,high,low,close,Volume BTC,Volume USD
17/11/2017,BTC/USD,7846.96,7997,7528.5,7674.99,138124189.4,17714.37
16/11/2017,BTC/USD,7294,7976.79,7120.85,7846.96,145738327.5,19272.37
15/11/2017,BTC/USD,6609,7350,6609,7294,119171192.4,16869.9
14/11/2017,BTC/USD,6525.17,6750,6466.88,6609,79508390.54,12072.05
13/11/2017,BTC/USD,5870.37,6775.75,5846,6525.17,173725919.5,27163.67
12/11/2017,BTC/USD,6355.13,6488.88,5555.55,5870.37,224990004.1,37220.5
11/11/2017,BTC/USD,6588.18,6820,6218,6355.13,96465935.17,14890.46
10/11/2017,BTC/USD,7148,7343.18,6429.44,6588.18,180472185.4,26492.72
09/11/2017,BTC/USD,7450.32,7490,7061.2,7148,106479695.2,14729.52
08/11/2017,BTC/USD,7130.28,7888,7080.01,7450.32,182900719.5,24598
07/11/2017,BTC/USD,6967.68,7244.69,6945,7130.28,82573875.36,11625.97
06/11/2017,BTC/USD,7372.72,7421.39,6922.07,6967.68,138309426.6,19290.82
05/11/2017,BTC/USD,7388.83,7590,7275.16,7372.72,68578104.7,9211.21
04/11/2017,BTC/USD,7146.82,7569.9,6994,7388.83,66574400.23,9178.26
03/11/2017,BTC/USD,7030,7500,6925.22,7146.82,115885350.4,15978.77
02/11/2017,BTC/USD,6741.59,7354.1,6700,7030,184478482.7,26442.64
01/11/2017,BTC/USD,6434.21,6756.36,6340.01,6741.59,84730388.78,12942.67
31/10/2017,BTC/USD,6119.99,6449.78,6072.81,6434.21,84132031.05,13388.29
30/10/2017,BTC/USD,6137.37,6229.77,6024.03,6119.99,58628072.74,9573.17
29/10/2017,BTC/USD,5730.69,6316.85,5683,6137.37,96245243.8,16067.43
28/10/2017,BTC/USD,5771.89,5875.66,5646.18,5730.69,33910959.44,5911.95
27/10/2017,BTC/USD,5890,5994.06,5674.06,5771.89,68864252.31,11878.19
26/10/2017,BTC/USD,5735.88,5988,5683,5890,68819732.17,11743.86
25/10/2017,BTC/USD,5523.4,5748,5366,5735.88,68165895.28,12312.35
24/10/2017,BTC/USD,5871.17,5871.17,5453.01,5523.4,97431687.22,17264.05
23/10/2017,BTC/USD,5969,6045.34,5617.75,5871.17,89096118.44,15257.2
22/10/2017,BTC/USD,6013.46,6071.07,5700,5969,71783836.81,12213.02
21/10/2017,BTC/USD,5977.29,6180,5871,6013.46,92596831.55,15305.54
20/10/2017,BTC/USD,5698.69,6074,5589.8,5977.29,88681234.35,15052.02
19/10/2017,BTC/USD,5582.05,5735.14,5512.06,5698.69,55881257.79,9883.68
18/10/2017,BTC/USD,5597.31,5617.75,5101.36,5582.05,101403786,18914.61
17/10/2017,BTC/USD,5745.72,5776.31,5506.78,5597.31,50937177.61,9087.77
16/10/2017,BTC/USD,5679.7,5807.11,5548,5745.72,51432597.47,9053.39
15/10/2017,BTC/USD,5801.29,5830,5415,5679.7,64387164.5,11529.17
14/10/2017,BTC/USD,5653.6,5817.34,5558.26,5801.29,47682043.42,8393.91
13/10/2017,BTC/USD,5445,5846.43,5380,5653.6,155680854,27797.47
12/10/2017,BTC/USD,4822.01,5445,4793.66,5445,102397248.4,19885.18
11/10/2017,BTC/USD,4749.29,4869.78,4700,4822.01,47163032.6,9847.43
10/10/2017,BTC/USD,4764.7,4909.97,4700,4749.29,56048025.67,11657.5
